cell_long,cell_lat,count
-330229.31,4469050.0,201
-328729.31,4468050.0,199
-330229.31,4466550.0,197
-318729.31,4464050.0,192
-317729.31,4460550.0,187
-330729.31,4469050.0,186
-325729.31,4459050.0,185
-318729.31,4460550.0,182
-317229.31,4460050.0,177
-316729.31,4460550.0,176
-329229.31,4460050.0,174
-330229.31,4459550.0,172
-331729.31,4469050.0,169
-319729.31,4463550.0,166
-322729.31,4457550.0,164
-324229.31,4469050.0,163
-317229.31,4468550.0,163
-326729.31,4464550.0,162
-330729.31,4464550.0,161
-329729.31,4459050.0,159
-321729.31,4457550.0,158
-327229.31,4464050.0,156
-332229.31,4465050.0,156
-316729.31,4462050.0,154
-328729.31,4457550.0,154
-332729.31,4461050.0,154
-323729.31,4468550.0,153
-329729.31,4460050.0,150
-332729.31,4456550.0,148
-330729.31,4461050.0,144
-328729.31,4460050.0,144
-319229.31,4463550.0,143
-324229.31,4466550.0,143
-330229.31,4463550.0,142
-328229.31,4460050.0,142
-327229.31,4460050.0,142
-317729.31,4463050.0,142
-324229.31,4468550.0,141
-327729.31,4456550.0,139
-318229.31,4460550.0,138
-329729.31,4469050.0,138
-332729.31,4457050.0,136
-328729.31,4462550.0,136
-318229.31,4459050.0,135
-327729.31,4457050.0,135
-331229.31,4466550.0,129
-319229.31,4460550.0,129
-320729.31,4463550.0,128
-330729.31,4460050.0,128
-316729.31,4469050.0,123
-317229.31,4463050.0,122
-325229.31,4459550.0,118
-327729.31,4464550.0,118
-326229.31,4465550.0,117
-324729.31,4464050.0,116
-332729.31,4464550.0,116
-329229.31,4463050.0,113
-325729.31,4458550.0,113
-324229.31,4461550.0,112
-318229.31,4467550.0,111
-327729.31,4459550.0,108
-332229.31,4460050.0,108
-327229.31,4462050.0,107
-324229.31,4466050.0,106
-332229.31,4466550.0,105
-332229.31,4468550.0,100
-332729.31,4459550.0,100
-317729.31,4460050.0,98
-328229.31,4464050.0,98
-318729.31,4459050.0,98
-322229.31,4463050.0,97
-316729.31,4464550.0,97
-317729.31,4464050.0,96
-318229.31,4459550.0,95
-326729.31,4468550.0,95
-324229.31,4462550.0,92
-320229.31,4463550.0,91
-327729.31,4468050.0,91
-319729.31,4468550.0,89
-324229.31,4467550.0,89
-325729.31,4463050.0,88
-317729.31,4459550.0,87
-325229.31,4464050.0,86
-324229.31,4459550.0,86
-318729.31,4465550.0,85
-328229.31,4462550.0,84
-317729.31,4467550.0,83
-327229.31,4463550.0,83
-317229.31,4466050.0,83
-318729.31,4463550.0,81
-325229.31,4466550.0,77
-327229.31,4469050.0,76
-324729.31,4468050.0,76
-327729.31,4462050.0,76
-319229.31,4458050.0,74
-318229.31,4465550.0,74
-320229.31,4468050.0,72
-331229.31,4467550.0,70
-321729.31,4465550.0,69
-332229.31,4456050.0,68
-318729.31,4467550.0,66
-317729.31,4458050.0,65
-330229.31,4468550.0,64
-326229.31,4465050.0,64
-322229.31,4457550.0,63
-319729.31,4467050.0,62
-325229.31,4461550.0,62
-330229.31,4459050.0,60
-319229.31,4467050.0,60
-319229.31,4459050.0,59
-323729.31,4459550.0,59
-332729.31,4460550.0,59
-327729.31,4469050.0,58
-325229.31,4463050.0,58
-324229.31,4468050.0,58
-322229.31,4466550.0,58
-324229.31,4462050.0,57
-321229.31,4464550.0,55
-325229.31,4462550.0,54
-318729.31,4468050.0,53
-327729.31,4456050.0,52
-326729.31,4468050.0,52
-320229.31,4462550.0,51
-324229.31,4467050.0,51
-322229.31,4467050.0,51
-331729.31,4465050.0,51
-316729.31,4459550.0,50
-324729.31,4466550.0,49
-325229.31,4462050.0,49
-318729.31,4456550.0,49
-320229.31,4467550.0,48
-317229.31,4459550.0,47
-317229.31,4459050.0,47
-318229.31,4463050.0,46
-332729.31,4457550.0,46
-320229.31,4463050.0,45
-329729.31,4468050.0,45
-319229.31,4468550.0,45
-319229.31,4458550.0,44
-318229.31,4463550.0,44
-331729.31,4467050.0,44
-325729.31,4469050.0,44
-322229.31,4466050.0,43
-331729.31,4467550.0,42
-321229.31,4465550.0,42
-317729.31,4458550.0,42
-317229.31,4457050.0,41
-326229.31,4458550.0,41
-324729.31,4462550.0,40
-317229.31,4458550.0,40
-321229.31,4465050.0,40
-325729.31,4460050.0,39
-328229.31,4464550.0,39
-317229.31,4468050.0,39
-324729.31,4466050.0,39
-321229.31,4459550.0,38
-321229.31,4459050.0,38
