poi_lon,poi_lat,count
-320353.5675,4474039.314,35
-326276.4872,4473651.201,35
-325055.2863,4481080.218,34
-328200.8345,4474783.384,34
-329158.7478,4472935.265,34
-324232.1159,4464973.407,34
-320409.9016,4474119.427,34
-327952.7897,4467722.618,34
-323828.6745,4472582.064,34
-326918.062,4467543.866,33
-326826.921,4467494.792,33
-322683.159,4470482.074,33
-326248.3046,4480897.89,33
-326177.4013,4473748.521,33
-325009.0777,4481087.624,33
-326603.5081,4472117.311,32
-325245.211,4481150.582,32
-324259.7329,4463726.512,32
-325768.5926,4472972.033,32
-325549.9747,4461335.616,32
-324358.8413,4462894.342,32
-326219.8065,4473763.278,32
-324229.847,4464995.752,32
-326931.0197,4467542.962,31
-326581.2835,4466457.037,31
-326590.5533,4472141.293,31
-324900.8258,4477646.841,31
-329540.313,4466639.102,31
-329296.4666,4472893.695,30
-326982.5339,4472324.304,30
-327467.9398,4482864.198,30
-320361.9035,4473999.441,30
-323968.5395,4470901.196,30
-329549.0999,4466550.668,30
-320358.3537,4474012.017,29
-325820.4304,4473006.978,29
-324826.2201,4472833.057,29
-329550.5787,4466535.758,29
-325542.6329,4461441.465,29
-325552.5809,4461309.466,29
-328290.2235,4474586.015,28
-323294.5144,4470653.888,28
-327426.1964,4467127.462,28
-322873.6834,4470486.729,28
-326995.5779,4472303.159,28
-325314.4153,4470672.58,28
-328168.8126,4474721.439,28
-320381.7447,4474207.136,28
-323362.3205,4470534.506,28
-320468.2643,4470325.582,28
-329235.5524,4473011.967,28
-325902.0162,4473017.976,28
-327930.4883,4467721.979,28
-325706.6056,4472998.188,28
-325847.0504,4472898.92,27
-328295.1749,4474496.947,27
-329182.5117,4474624.054,27
-328973.5507,4472693.267,27
-322241.4405,4470543.116,27
-326917.7574,4472077.813,27
-320375.3816,4474214.361,27
-325918.96,4472906.978,27
-328261.4787,4474413.145,27
-320386.4745,4473220.811,27
-329164.797,4472997.594,26
-323954.3257,4471047.549,26
-325539.4998,4461477.706,26
-327369.2565,4467686.426,26
-320356.2964,4470342.635,26
-323927.6755,4468501.185,26
-325928.3569,4472909.234,26
-325060.0138,4473531.979,26
-327958.5016,4470696.035,26
-320392.3969,4470292.906,25
-325114.2408,4481165.334,25
-320377.2883,4473256.953,25
-325459.6201,4461672.828,25
-327468.2872,4478376.219,24
-325460.9364,4461657.8,24
-328610.4476,4472995.476,24
-320347.7121,4474212.67,24
-323345.3347,4470527.192,24
-322969.5942,4472044.513,24
-326621.0356,4480507.536,24
-325065.6663,4474448.409,24
-326374.4054,4473027.185,24
-325091.051,4474515.793,23
-325829.1288,4472894.752,23
-325820.2752,4474564.133,23
-329159.9541,4472956.001,23
-325097.1354,4474517.584,23
-324094.3021,4483386.013,23
-327104.9045,4472956.371,23
-324978.5967,4483361.709,23
-325076.0579,4474512.847,23
-325613.3605,4467909.74,23
-326212.0821,4474592.653,23
-325517.4604,4461173.233,22
-325133.3341,4474556.257,22
-323326.2915,4470525.477,22
-327424.589,4467142.154,22
-320446.307,4474103.227,22
-318999.5465,4481408.355,22
-320514.0022,4473020.104,21
-320837.791,4470443.225,21
-320502.629,4474118.924,21
-330061.7285,4444832.735,21
-320324.0443,4474388.144,21
-322671.9749,4474279.443,21
-325000.039,4474497.528,21
-330715.455,4475297.837,21
-325264.2174,4472796.685,21
-325070.309,4474576.431,21
-323826.5659,4470699.435,21
-325521.9845,4461654.304,21
-325514.7995,4461681.464,21
-329609.155,4466855.896,21
-326826.6218,4480194.567,21
-324953.2154,4475165.843,21
-320417.0337,4473746.314,21
-324953.4379,4475151.055,21
-326590.9969,4480465.737,21
-326871.3097,4472698.256,21
